,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,availability_30,availability_365,review_scores_accuracy,review_scores_cleanliness,reviews_per_month,place,south,verification_count,email_ver,jumio_ver,phone_ver,host_response_rate%,host_acceptance_rate%,days_as_host,days_since_last_rev,days_since_first_rev,minimum_nights,communication_score
17006,within an hour,f,1.0,t,t,t,0,0,4.91,5.0,0.19,Milan,0,6,1,1,1,100,100,2397,1957,2022,1,5.0
17849,within a day,f,2.0,t,t,t,27,87,5.0,4.86,0.12,Milan,0,6,1,1,1,70,33,2270,129,1793,2,5.0
23542,within an hour,f,1.0,t,f,t,0,0,5.0,5.0,0.05,Milan,0,2,1,0,1,100,100,781,739,739,2,5.0
16558,within a few hours,f,3.0,t,t,t,0,317,4.71,4.67,0.6,Milan,0,7,1,1,1,100,60,2691,123,2173,1,4.855
19365,within an hour,t,2.0,t,t,t,0,0,4.5,4.5,0.04,Milan,0,4,0,1,1,100,64,2159,492,1412,1,5.0
14791,within a day,f,1.0,t,t,t,5,109,5.0,4.8,0.13,Milan,0,5,1,1,1,100,50,2588,85,2460,3,4.95
19477,within an hour,f,1.0,t,f,t,0,0,5.0,5.0,0.09,Milan,0,2,1,0,1,100,100,1437,1056,1413,2,5.0
13275,within an hour,f,1.0,t,t,t,0,256,5.0,5.0,0.07,Milan,0,8,1,1,1,100,100,3967,1139,3640,3,5.0
16628,within an hour,f,5.0,t,t,t,1,46,4.89,4.82,2.26,Milan,0,5,1,1,1,100,0,2606,740,2163,2,4.835
25952,within an hour,f,0.0,t,f,t,19,156,4.79,4.71,5.68,Milan,0,2,1,0,1,100,100,971,81,151,1,4.93
14718,within an hour,f,1.0,t,t,t,0,0,4.92,5.0,0.15,Milan,0,5,1,1,1,100,100,2604,2375,2544,30,4.96
25280,within an hour,t,0.0,t,t,t,0,0,5.0,4.5,0.45,Milan,0,5,1,1,1,100,96,2492,205,211,1,5.0
13558,within a day,t,1.0,t,t,t,5,337,4.95,4.94,0.59,Milan,0,6,1,1,1,100,73,3300,123,3243,2,4.965
20220,within an hour,f,1.0,t,f,t,0,0,5.0,4.67,0.1,Milan,0,1,1,0,0,100,100,1315,1236,1301,3,4.835
17268,within an hour,f,2.0,t,f,t,0,0,5.0,4.69,0.26,Milan,0,3,1,0,1,100,100,2057,1249,1943,2,4.970000000000001
14076,within an hour,f,3.0,t,t,t,18,168,4.67,5.0,0.04,Milan,0,5,1,1,1,100,100,2913,864,2325,2,5.0
21426,within an hour,f,1.0,t,f,t,29,89,5.0,5.0,0.03,Milan,0,2,1,0,1,100,100,1470,1056,1056,2,5.0
19108,within an hour,t,1.0,t,f,t,0,0,4.95,4.98,1.29,Milan,0,2,1,0,1,100,100,2245,813,1446,3,4.975
19277,within an hour,f,20.0,t,t,t,8,15,4.8,4.88,0.56,Milan,0,6,1,1,1,100,100,2306,98,1427,4,4.84
25619,within an hour,f,52.0,t,t,t,12,61,1.0,1.0,0.38,Milan,0,7,1,1,1,95,98,3564,154,154,2,1.0
25312,within an hour,f,0.0,t,t,t,0,311,4.8,4.6,1.34,Milan,0,5,1,1,1,100,70,1315,123,189,2,4.699999999999999
20886,within a few hours,t,1.0,t,f,t,9,120,4.94,4.84,0.89,Milan,0,2,1,0,1,90,82,1156,88,1125,5,4.984999999999999
21341,within an hour,t,1.0,t,f,t,0,44,5.0,4.95,1.21,Milan,0,2,1,0,1,100,100,1773,460,1089,2,5.0
13983,within an hour,t,1.0,t,t,t,0,0,4.9,4.62,0.24,Milan,0,5,1,1,1,100,33,2928,298,2922,3,4.9
22000,within a day,f,3.0,t,t,t,3,33,4.93,4.8,0.46,Milan,0,8,1,1,1,67,9,3313,514,1054,2,4.7
25495,within a few hours,f,0.0,t,t,t,23,354,5.0,5.0,0.23,Milan,0,6,1,1,1,100,40,2298,207,207,3,5.0
15629,within an hour,f,1.0,t,t,t,0,0,5.0,5.0,0.04,Milan,0,5,1,1,1,100,100,3067,2321,2355,2,4.835
21449,a few days or more,f,1.0,t,t,t,27,362,5.0,4.5,0.06,Milan,0,9,1,1,1,0,0,2189,1054,1056,2,5.0
15185,within a day,f,2.0,t,t,t,3,3,4.8,4.76,1.53,Milan,0,8,1,1,1,70,35,2575,97,2512,2,4.895
18494,within a day,f,1.0,t,f,t,23,83,5.0,5.0,0.04,Milan,0,2,1,0,1,70,100,1808,118,1470,3,5.0
16350,within a day,f,1.0,t,t,t,1,298,5.0,5.0,0.05,Milan,0,5,1,1,1,100,0,3034,1233,1920,1,5.0
17722,within an hour,f,3.0,t,t,t,0,130,4.93,4.77,1.02,Milan,0,8,1,1,1,100,100,3187,157,1749,2,4.915
16493,within a few hours,t,2.0,t,t,t,1,290,4.94,4.94,0.28,Milan,0,5,1,1,1,100,84,2204,132,2184,3,5.0
24568,within an hour,f,2.0,t,t,t,24,221,3.5,3.0,0.97,Milan,0,5,1,1,1,100,83,720,117,139,6,3.75
